emotion,song,url
angry,힐링되는 유령송,https://www.youtube.com/watch?v=OzVfxafNCZg
angry,반야심경 리믹스,https://www.youtube.com/watch?v=df9_a4ySCcE
angry,걱정말아요 그대,https://www.youtube.com/watch?v=rrm28wtQTmg
angry,죄임스 좆같은 인생,https://www.youtube.com/watch?v=c-Rwhg-iqag
angry,넬 1분만 닥쳐줄래요,https://www.youtube.com/watch?v=jXcwexb95V4
angry,배치기 닥쳐줘요,https://www.youtube.com/watch?v=ZAo0DfLlUCo
angry,고옥희 주옥같다,https://www.youtube.com/watch?v=6GZkDiEqqRY
angry,장기하와 얼굴들 그건 니 생각이고,https://www.youtube.com/watch?v=pqBMnfi3fzs
angry,스텔라장 빌런,https://www.youtube.com/watch?v=yVEx-Dpd38k
angry,사랑하긴 했었나요,https://www.youtube.com/watch?v=ElQS9l6CvEo
disgust,하현우 돌덩이,https://www.youtube.com/watch?v=VcWPHoHbANo
disgust,next level,https://www.youtube.com/watch?v=dly3BvtmXbA
disgust,이상은 언젠가는,https://www.youtube.com/watch?v=2FYTP6Fvfpc
disgust,투애니원 내가 제일 잘 나가,https://www.youtube.com/watch?v=rrZxGvUSeAE
disgust,칵스 부르튼,https://www.youtube.com/watch?v=v3_Q_Sic1sk
disgust,이하이 1234,https://www.youtube.com/watch?v=MzjT25MNQB4
disgust,조광일 곡예사,https://www.youtube.com/watch?v=iU2Z7W5-cfw
disgust,레드벨벳 bad boy,https://www.youtube.com/watch?v=OaM4lJwn7D8
fear,센과 치히로의 행방불명 생명의 이름,https://www.youtube.com/watch?v=IicjexhNel0
fear,마녀배달부키키 따스함에 둘러싸인다면 피아노,https://www.youtube.com/watch?v=KStYpaQtNeg
fear,네가 되는 꿈 감정소묘,https://www.youtube.com/watch?v=RBh8tl13750
fear,수고했어 오늘도,https://www.youtube.com/watch?v=U3e4AOd-DzE
fear,이하이 한숨,https://www.youtube.com/watch?v=z40WZcL9e5I
fear,에픽하이 빈차,https://www.youtube.com/watch?v=fT2wvviD_Rw
happy,조이 안녕,https://www.youtube.com/watch?v=pC7Z0TnvIs0
happy,신호등,https://www.youtube.com/watch?v=Fc9fVi-_DWE
happy,백예린 square,https://www.youtube.com/watch?v=4iFP_wd6QU8
happy,치즈 madeleine Love,https://www.youtube.com/watch?v=EHTagN5HJKQ
happy,치즈 ticket,https://www.youtube.com/watch?v=Ir7wM04GG7Y
happy,우주를 줄게,https://www.youtube.com/watch?v=t9fCr47tGS4
happy,보아 아틀란티스 소녀,https://www.youtube.com/watch?v=ntTRbTkw4UA
happy,장범준 흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,https://www.youtube.com/watch?v=689GoEBjMhY
happy,AKMU Give Love,https://www.youtube.com/watch?v=27JetkUN2pI
happy,좋아 좋아,https://www.youtube.com/watch?v=-mZwFdTvAjo
happy,백예린 november song,https://www.youtube.com/watch?v=RnqddKPfmA4
happy,레드벨벳 환생,https://www.youtube.com/watch?v=hbdXgtRgLDE
happy,아이유 라일락,https://www.youtube.com/watch?v=W475_MHV_EU
sad,백예린 그건 아마 우리의 잘못은 아닐꺼야,https://www.youtube.com/watch?v=yWP--1gsr20
sad,새소년 난춘,https://www.youtube.com/watch?v=OP-_rHPCmpc
sad,돌이킬 수 없는 걸음,https://www.youtube.com/watch?v=oeLHy3dIiXs
sad,유재하 사랑하기 때문에,https://www.youtube.com/watch?v=oEaxVe-g8aw
sad,wonder hole,https://www.youtube.com/watch?v=9H_5wDSyiIc
sad,구원찬 슬퍼하지마,https://www.youtube.com/watch?v=Z856zNBLOIE
sad,선우정아 생애,https://www.youtube.com/watch?v=nprR0LKB8Ww
sad,Colde Your Dog Loves You,https://www.youtube.com/watch?v=b1uifHd1Zn8
sad,권진아 위로,https://www.youtube.com/watch?v=kdUe1xZh9N0
sad,브로콜리너마저 울지마,https://www.youtube.com/watch?v=7OrqtBxNfz8
sad,볼빨간사춘기 나만 안되는 연애,https://www.youtube.com/watch?v=QdI5Sy5epJc
sad,치즈 alone,https://www.youtube.com/watch?v=RiGn9W7Ndmg
sad,선우정아 도망가자,https://www.youtube.com/watch?v=D0l1HdemykU
surprise,이루마 liver flow in you,https://www.youtube.com/watch?v=5vO5HuphDnM
surprise,밤이 찾아오면 해금살롱,https://www.youtube.com/watch?v=UOQTXep_19M
surprise,에픽하이 lullaby for a cat,https://www.youtube.com/watch?v=Sb9Xu17T4CU
surprise,담아 갈게 이무진,https://www.youtube.com/watch?v=TYOHsPasQ_Q
surprise,산책 백예린,https://www.youtube.com/watch?v=iAeeTin1uCA
neutral,유희열 공원에서,https://www.youtube.com/watch?v=BeEu0GQ6Nz4
neutral,선우정아 뒹굴뒹굴,https://www.youtube.com/watch?v=exfv7thz_nM
neutral,chimmi secret,https://www.youtube.com/watch?v=EUm_72X2UDQ
neutral,can I love,https://www.youtube.com/watch?v=HmKgFJGn46Q
neutral,내일이 오면,https://www.youtube.com/watch?v=e0--itBVfa0
neutral,offonoff gold,https://www.youtube.com/watch?v=cgeijHtv0ic
neutral,urban life style,https://www.youtube.com/watch?v=bgwi28XCKAQ
neutral,아이유 잠 못 드는 밤 비는 내리고,https://www.youtube.com/watch?v=xb3F_YlAb7k
